first_name,last_name,title,authority,company,domain,tier,employees,revenue_usd,location,zi_person_id
Melissa,Baum,"Owner, Founder, President & Partner",Owner,Bluleadz,bluleadz.com,Elite,36,5075000,Tampa FL,13386903576
Nick,Vena,Part Owner,Owner,Salted Stone,saltedstone.com,Elite,72,13207000,Monrovia CA,2509704880
George,Roadman,Founder & CEO,Founder,Accelant,accelant.com,Elite,20,835000,North Reading MA,14827729317
Noah,Berk,Co-Founder,Founder,Aptitude 8,aptitude8.com,Elite,72,2124000,Huntersville NC,1659584513
Luis,Silva-Ball,CEO & Co-Founder,Founder,Digifianz,digifianz.com,Elite,51,3874000,Pompano Beach FL,3237523176
John,Heritage,Founder & CEO,Founder,Evenbound,evenbound.com,Elite,20,4026000,Grand Haven MI,5229335215
Pratik,Thakker,Founder & CEO,Founder,Insidea,insidea.com,Elite,18,2495000,,10277412323
Eric,Pratt,Founder & CEO,Founder,Instrumental Group,instrumental.net,Elite,77,12093000,Golden CO,2070413580
Trish,Lessard,Founder & CEO,Founder,Media Junction,mediajunction.com,Elite,27,2659000,Saint Paul MN,1144255258
Brian,LaPann,Co-Founder & CEO,Founder,Mole Street,molestreet.com,Elite,21,1319000,Philadelphia PA,1957704270
Brendan,Walsh,Co-Founder & CRO,Founder,Mole Street,molestreet.com,Elite,21,1319000,Philadelphia PA,18111591753
Darlingtina,Tucker,Founder,Founder,New Breed,newbreedrevenue.com,Elite,32,4995000,,8089686421
Nathan,Paris,CEO & Founder,Founder,On The Fuze,onthefuze.com,Elite,121,6655000,,1899058912
Jatin,Chhabra,Co-Founder,Founder,One Metric,onemetric.io,Elite,5,2804000,,17632647540
Nishant,Gupta,Co-Founder,Founder,One Metric,onemetric.io,Elite,5,2804000,,17632647391
Perry,Nalevka,CEO & Founder,Founder,Penguin Strategies,penguinstrategies.com,Elite,27,9785000,Raanana IL,1307985440
Brendan,Tolleson,Co-Founder & CEO,Founder,RevPartners,revpartners.io,Elite,73,976000,Atlanta GA,11286512710
Ryan,Malone,Founder & CEO,Founder,SmartBug,smartbugmedia.com,Elite,300,102014000,Newport Beach CA,624516893
Vicky,Kumar,Co-Founder,Founder,SmartBug,smartbugmedia.com,Elite,300,102014000,Newport Beach CA,-1493787210
Corne,van Driel,CTO & Co-Founder,Founder,Unlimited Tech Solutions,unlimitedtechsolutions.com,Elite,8,5098000,Tarpon Springs FL,9021314227
Robert,Guinn,Co-Chief Executive Officer,CEO,Aptitude 8,aptitude8.com,Elite,72,2124000,Huntersville NC,1315819503
Eric,Baum,Chief Executive Officer,CEO,Bluleadz,bluleadz.com,Elite,36,5075000,Tampa FL,1965208725
John,Burdett,President & CEO,CEO,Fast Slow Motion,fastslowmotion.com,Elite,156,38022000,Birmingham AL,644478005
Alex,Fleary,Chief Executive Officer,CEO,New Breed,newbreedrevenue.com,Elite,32,4995000,,10763632700
Rose,DiFerdinando,Chief Executive Officer,CEO,New Breed,newbreedrevenue.com,Elite,32,4995000,,9869598849
Alexander,Arango,Chief Executive Officer,CEO,Triario,triario.co,Elite,86,5034000,Envigado CO,3388681082
Kevin,England,CEO & President,CEO,Vonazon,vonazon.com,Elite,38,12000000,Ventura CA,1448220632
Jeffrey,White,President,President,Fast Slow Motion,fastslowmotion.com,Elite,156,38022000,Birmingham AL,1586501874
Andre,Bulls,Partner,Equity partner,Open Flow,openflowdigital.com,Elite,36,2440000,,3241412591
Ivan,Karp,Managing Director,Managing Director,SyncMatters,syncmatters.com,Elite,20,3358000,Austin TX,9002001810
