zi_company_id,domain,tier,company,employees,revenue_usd,location,zi_contacts_available,exec_contact_found
346596914,smartbugmedia.com,elite,SmartBug,300,102014000,Newport Beach CA,228,yes
368764632,fastslowmotion.com,elite,Fast Slow Motion,156,38022000,Birmingham AL,135,yes
353151679,saltedstone.com,elite,Salted Stone,72,13207000,Monrovia CA,71,yes
1312976814,instrumental.net,elite,Instrumental Group,77,12093000,Golden CO,71,yes
348179053,vonazon.com,elite,Vonazon,38,12000000,Ventura CA,70,yes
358437089,penguinstrategies.com,elite,Penguin Strategies,27,9785000,Raanana IL,37,yes
1315634975,onthefuze.com,elite,On The Fuze,121,6655000,,73,yes
365464861,digitalj2.com,elite,digitalJ2,16,5571000,Charlotte NC,25,no
1322717741,unlimitedtechsolutions.com,elite,Unlimited Tech Solutions,8,5098000,Tarpon Springs FL,21,yes
357660147,bluleadz.com,elite,Bluleadz,36,5075000,Tampa FL,75,yes
396010986,triario.co,elite,Triario,86,5034000,Envigado CO,13,yes
1289497671,newbreedrevenue.com,elite,New Breed,32,4995000,,1,yes
398334855,campaigncreators.com,elite,Campaign Creators,24,4125000,San Diego CA,38,yes
534290597,evenbound.com,elite,Evenbound,20,4026000,Grand Haven MI,34,yes
347039001,bluefrogdm.com,elite,Blue Frog,20,4006000,Waukee IA,41,yes
372393311,digifianz.com,elite,Digifianz,51,3874000,Pompano Beach FL,32,yes
1320768693,huble.com,elite,Huble DACH,94,3690000,Munich,2,no
1334141231,syncmatters.com,elite,SyncMatters,20,3358000,Austin TX,19,yes
451436123,1406consulting.com,elite,1406 Consulting,17,3335000,Johns Creek GA,17,no
482751929,onemetric.io,elite,One Metric,5,2804000,,0,yes
355339328,mediajunction.com,elite,Media Junction,27,2659000,Saint Paul MN,47,yes
377700345,insidea.com,elite,Insidea,18,2495000,,55,yes
566136401,openflowdigital.com,elite,Open Flow,36,2440000,,9,yes
542371447,aptitude8.com,elite,Aptitude 8,72,2124000,Huntersville NC,36,yes
353939764,wendtpartners.com,elite,Wendt Partners,24,1919000,Arlington VA,58,no
1315349227,cetdigit.com,elite,Cetdigit,18,1585000,Dover DE,23,yes
458224132,growthoperationsfirm.com,elite,Growth Operations Firm,11,1402000,,5,no
356323724,molestreet.com,elite,Mole Street,21,1319000,Philadelphia PA,40,yes
556908132,revpartners.io,elite,RevPartners,73,976000,Atlanta GA,66,yes
403364761,bayardbradford.com,elite,Bayard Bradford,11,968000,Houston TX,13,no
1329187310,accelant.com,elite,Accelant,20,835000,North Reading MA,22,yes
3705242,americaneagle.com,diamond,Americaneagle.com,800,194982000,Des Plaines IL,756,yes
368728746,girikon.com,diamond,Girikon,300,73119000,Phoenix AZ,258,yes
151634227,provisionsgroup.com,diamond,Provisions Group,147,35828000,Franklin TN,183,yes
28481131,conceptltd.com,diamond,Concept,100,34005000,Copley OH,144,no
353962644,ocozzio.com,diamond,Ocozzio,285,25500000,Augusta GA,96,yes
6799428,cargas.com,diamond,Cargas Systems,189,22211000,Lancaster PA,276,yes
346764575,commercient.com,diamond,Commercient,94,19745000,Marietta GA,86,yes
465722273,kalungi.com,diamond,Kalungi,93,17503000,Seattle WA,60,yes
351429499,tslmarketing.com,diamond,TSL Marketing,294,12198000,Elkridge MD,304,yes
5000795137,brick.work,diamond,Brickwork,52,10990000,Chicago IL,0,yes
566135733,geeklymedia.com,diamond,Geekly Media,28,9522000,McKinney TX,28,yes
354365362,impactplus.com,diamond,IMPACT,40,8000000,Cheshire CT,66,yes
356866894,impulsecreative.com,diamond,Impulse Creative,23,7092000,Fort Denaud FL,46,yes
348811278,saascrm.io,diamond,SaaS Solutions,16,6090000,Media PA,13,no
347508947,ndgcommunications.com,diamond,NDG Communications,30,5966000,La Plata MD,42,yes
398013224,leadg2.com,diamond,LeadG2,18,5778000,,14,no
350928790,lairedigital.com,diamond,LAIRE,18,5687000,Charlotte NC,17,yes
369130853,protocol80.com,diamond,Protocol 80,20,4321000,Lewis Run PA,23,yes
346567681,manobyte.com,diamond,ManoByte,28,4252000,Tampa FL,48,yes
374946804,builderfunnel.com,diamond,Builder Funnel,23,4214000,Colorado Springs CO,33,yes
457695059,solutiononepartners.com,diamond,Solution One Partners,15,4212000,Surprise AZ,13,no
346467568,kiwicreative.net,diamond,Kiwi Creative,16,4091000,Strongsville OH,21,no
21840089,kunocreative.com,diamond,Kuno Creative,27,4061000,Lorain OH,75,yes
1334742984,solutech.ai,diamond,Solutech.ai,4,3916000,Tel Aviv,0,yes
129746085,highroadsolutions.com,diamond,HighRoad Solution,19,3708000,Ashburn VA,16,yes
357948889,denamico.com,diamond,Denamico,19,3555000,Minneapolis MN,23,yes
356286557,unific.com,diamond,Unific,23,3196000,Chicago IL,32,yes
470267287,pearagon.com,diamond,Pearagon,13,2748000,Draper UT,14,no
539205826,integrateiq.com,diamond,Integrate IQ,14,2652000,Louisville KY,9,yes
478364015,primocoding.com,diamond,Primo Coding,9,2564000,,4,yes
347624032,ghagency.com,diamond,GreenHouse Agency,7,2094000,Lake Mary FL,10,yes
471196059,srpro.marketing,diamond,Marketing Automation Agency,19,2064000,Rockville MD,24,yes
429753650,digitalegy.io,diamond,Digitalegy,14,2059000,,7,no
445563656,harvestroi.com,diamond,Harvest ROI,8,1952000,Avon OH,8,yes
478783178,newedgegrowth.com,diamond,NewEdge Growth,5,1923000,Leawood KS,4,no
1284547423,leadcoverage.com,diamond,Lead Coverage,22,1807000,Atlanta GA,40,yes
1327204895,liftenablement.com,diamond,Lift Enablement,13,1696000,Severna Park MD,16,no
1335243142,elefanterevops.com,diamond,elefante RevOps,5,1644000,Truckee CA,3,yes
452696188,roofingbusinesspartner.com,diamond,RBP Consulting,27,1543000,Leduc AB,23,yes
43239467,orangemarketing.com,diamond,Orange Marketing,7,1531000,Newport Beach CA,15,yes
465584917,pyxisgrowth.com,diamond,Pyxis Growth Partners,8,1514000,Austin TX,8,yes
1340319722,geear.io,diamond,Geear,14,1269000,Midlothian VA,60,no
452700553,bryantworks.com,diamond,Bryant Works,4,1144000,Lexington KY,2,yes
