domain,keep_id,keep_name,keep_score,keep_contacts,keep_deals,keep_created,merge_ids,merge_detail
co.ke,53536212372,Pinnacle Consulting Group,25,2,0,2022-10-31,11563842866;21355199582;51992320385;15570887766,11563842866(1c/0d) | 21355199582(1c/0d) | 51992320385(1c/0d) | 15570887766(0c/0d)
co.kr,20725105989,IDK Technology,15,1,0,2024-05-09,21371487506;21408358534;35968989992,21371487506(1c/0d) | 21408358534(1c/0d) | 35968989992(1c/0d)
co.th,44062499484,Central Department Store Group,25,2,0,2025-11-09,15880211753;15892749641,15880211753(1c/0d) | 15892749641(1c/0d)
com.bd,15894215772,HSBC Bangladesh,25,2,0,2023-05-29,7475761047,7475761047(1c/0d)
com.my,15893780784,HSBC Bank Malaysia Berhad,45,4,0,2023-05-29,32425395862,32425395862(1c/0d)
com.ph,8835417673,CTBC Bank Philippines,15,1,0,2022-06-02,10550626603;10571337567;22766822728;25501278523;25513946441;35624533687;39670270499;54654960726;54637567139,10550626603(1c/0d) | 10571337567(1c/0d) | 22766822728(1c/0d) | 25501278523(1c/0d) | 25513946441(1c/0d) | 35624533687(1c/0d) | 39670270499(1c/0d) | 54654960726(1c/0d) | 54637567139(1c/0d)
com.tw,15892783128,Hong Kong and Shanghai Banking Corp Ltd ,25,2,0,2023-05-29,7676260389;32907902540;42693574062,7676260389(0c/0d) | 32907902540(0c/0d) | 42693574062(0c/0d)
com.vn,44061408177,Viettel Group,35,3,0,2025-11-09,31468222538;34294834357,31468222538(1c/0d) | 34294834357(1c/0d)
linkedin.com,6921853614,LinkedIn,28,2,0,2021-09-11,21355144968;36106627590,21355144968(1c/0d) | 36106627590(0c/0d)
linktr.ee,7398063432,Linktree,15,1,0,2021-12-02,36447949703,36447949703(1c/0d)
mojenta.com,55293991747,Mojenta,15,1,0,2026-05-26,21578300799,21578300799(0c/0d)
orangemarketing.com,55294901156,Orange Marketing,15,1,0,2026-05-26,21578454816,21578454816(0c/0d)
thatsnice.com,8499640452,Nice Exhibit,5,0,0,2022-04-20,8507278165,8507278165(0c/0d)
thomasnet.com,53541623338,Thomas,85,8,0,2023-01-31,21578412344,21578412344(0c/0d)
